timestamp,system_time,lat,lon,speed,bearing,provider
1580642327000,1580642325638,43.020286,-78.76454962,0.0,0.0,gps
1580642645000,1580642644208,43.02028027,-78.76456475,0.0,0.0,gps
1580642655000,1580642654208,43.02028941,-78.76456228,0.0,0.0,gps
1580642744000,1580642743208,43.02028634,-78.7645431,0.5,116.5,gps
1580642745000,1580642744208,43.02028409,-78.76452685,0.75,100.6,gps
1580642746000,1580642745209,43.02028113,-78.76451209,1.0,108.4,gps
1580642747000,1580642746208,43.02027658,-78.76449827,1.0,117.4,gps
1580642748000,1580642747208,43.0202702,-78.76448285,1.25,121.8,gps
1580642749000,1580642748208,43.0202607,-78.764468,1.25,127.6,gps
1580642750000,1580642749208,43.02024495,-78.76444828,2.0,134.5,gps
1580642751000,1580642750208,43.02022799,-78.76443341,2.0,140.9,gps
1580642752000,1580642751209,43.02021206,-78.76441887,2.0,142.0,gps
1580642753000,1580642752208,43.02019425,-78.76440576,2.0,146.5,gps
1580642754000,1580642753208,43.02017429,-78.76439505,2.0,151.4,gps
1580642755000,1580642754208,43.02015354,-78.76438497,2.25,156.6,gps
1580642756000,1580642755127,43.02013284,-78.76437501,2.25,156.5,gps
1580642757000,1580642756128,43.02010615,-78.76435983,2.75,154.7,gps
1580642758000,1580642757133,43.02007902,-78.76434445,3.0,153.5,gps
1580642759000,1580642758208,43.02005288,-78.76432805,3.0,152.4,gps
1580642760000,1580642759208,43.0200276,-78.76431121,3.0,151.3,gps
1580642761000,1580642760208,43.02000206,-78.7642924,3.0,150.3,gps
1580642762000,1580642761208,43.01997655,-78.76427327,3.0,150.7,gps
1580642763000,1580642762208,43.0199509,-78.76425416,3.0,149.8,gps
1580642764000,1580642763208,43.01992829,-78.76423729,2.75,148.7,gps
1580642765000,1580642764208,43.01990553,-78.76421846,2.75,147.0,gps
1580642766000,1580642765261,43.01988315,-78.76420176,2.75,148.1,gps
1580642767000,1580642766208,43.01986111,-78.76418761,2.75,151.4,gps
1580642768000,1580642767208,43.0198371,-78.76417676,2.75,158.3,gps
1580642769000,1580642768208,43.01981022,-78.7641731,2.75,169.0,gps
1580642770000,1580642769208,43.01978219,-78.76417883,3.0,182.0,gps
1580642771000,1580642770208,43.01975281,-78.76419245,3.0,191.9,gps
1580642772000,1580642771208,43.01971728,-78.76421754,3.75,201.8,gps
1580642773000,1580642772208,43.01967919,-78.76424869,4.5,209.5,gps
1580642774000,1580642773208,43.0196412,-78.76428912,4.75,216.6,gps
1580642775000,1580642774297,43.01960129,-78.76433494,5.25,219.2,gps
1580642776000,1580642775296,43.01955755,-78.76439634,5.75,220.8,gps
1580642777000,1580642776297,43.01952384,-78.76444656,6.0,220.2,gps
1580642778000,1580642777298,43.01947223,-78.76449443,6.5,216.9,gps
1580642779000,1580642778208,43.01940983,-78.76455454,7.0,218.7,gps
1580642780000,1580642779208,43.01934843,-78.76461927,7.5,218.3,gps
1580642781000,1580642780208,43.01929608,-78.76466954,8.0,218.9,gps
1580642782000,1580642781208,43.01924775,-78.76473108,8.5,219.0,gps
1580642783000,1580642782208,43.0191859,-78.76480363,8.75,219.0,gps
1580642784000,1580642783336,43.01911533,-78.76487798,9.0,219.0,gps
1580642785000,1580642784209,43.01904688,-78.76495775,9.25,219.0,gps
1580642786000,1580642785208,43.01897854,-78.76503431,9.75,219.0,gps
1580642787000,1580642786208,43.018902,-78.76511231,10.0,219.1,gps
1580642788000,1580642787208,43.0188314,-78.76518843,10.25,219.0,gps
1580642789000,1580642788208,43.01875449,-78.7652712,10.25,218.9,gps
1580642790000,1580642789208,43.01868499,-78.76535603,10.5,218.8,gps
1580642791000,1580642790208,43.01861324,-78.76543173,10.75,218.8,gps
1580642792000,1580642791207,43.01853816,-78.76551203,10.75,218.7,gps
1580642793000,1580642791674,43.01846748,-78.76559311,10.75,218.8,gps
1580642794000,1580642793211,43.01839363,-78.76567358,10.75,218.8,gps
1580642795000,1580642794212,43.01832924,-78.7657588,10.75,219.0,gps
1580642796000,1580642795127,43.01825171,-78.76583923,10.75,218.8,gps
1580642797000,1580642796127,43.01818155,-78.76592258,10.5,219.1,gps
1580642798000,1580642797132,43.0181081,-78.76600491,10.75,219.4,gps
1580642799000,1580642798208,43.01802199,-78.76609608,10.75,219.4,gps
1580642800000,1580642799208,43.01794719,-78.76618541,10.75,219.1,gps
1580642801000,1580642800208,43.01787332,-78.76627017,11.0,218.6,gps
1580642802000,1580642800696,43.01779653,-78.76635464,11.0,218.5,gps
1580642803000,1580642802208,43.01772416,-78.76644024,11.0,218.2,gps
1580642804000,1580642803208,43.01764753,-78.766518,11.0,218.8,gps
1580642805000,1580642804208,43.01756945,-78.76660536,11.0,218.9,gps
1580642806000,1580642805208,43.01749276,-78.76668585,10.75,218.9,gps
1580642807000,1580642806208,43.01742145,-78.7667621,10.75,218.9,gps
1580642808000,1580642807209,43.01734324,-78.76684228,10.5,218.4,gps
1580642809000,1580642808208,43.01727224,-78.76691704,10.25,218.6,gps
1580642810000,1580642809208,43.01720557,-78.76699412,10.25,218.6,gps
1580642811000,1580642809849,43.01713865,-78.76706676,10.0,218.7,gps
1580642812000,1580642811208,43.01706401,-78.76714073,9.5,218.5,gps
1580642813000,1580642812208,43.01699412,-78.7672147,9.25,218.8,gps
1580642814000,1580642813208,43.0169306,-78.76727861,9.5,218.4,gps
1580642815000,1580642814208,43.01686377,-78.76735281,9.75,217.8,gps
1580642816000,1580642815208,43.01679105,-78.76743007,10.0,216.9,gps
1580642817000,1580642816120,43.01671095,-78.76751713,10.25,216.6,gps
1580642818000,1580642817130,43.01662772,-78.7675919,10.75,214.4,gps
1580642819000,1580642818209,43.01654765,-78.76766584,10.5,212.7,gps
1580642820000,1580642818849,43.01646591,-78.76772943,11.0,211.8,gps
1580642821000,1580642820208,43.01637564,-78.76780221,11.0,210.9,gps
1580642822000,1580642821208,43.01628893,-78.76786306,11.25,210.0,gps
1580642823000,1580642822208,43.01619926,-78.76792327,11.5,209.4,gps
1580642824000,1580642823208,43.01611078,-78.76799642,11.5,209.6,gps
1580642825000,1580642824208,43.01600773,-78.76805902,11.75,208.3,gps
1580642826000,1580642825208,43.01590946,-78.76811936,11.75,206.1,gps
1580642827000,1580642826208,43.01582028,-78.76818248,11.75,205.6,gps
1580642828000,1580642827209,43.0157234,-78.76823739,11.75,204.9,gps
1580642829000,1580642828208,43.01563027,-78.76829007,12.0,203.8,gps
1580642830000,1580642829208,43.01553453,-78.76835615,12.0,204.0,gps
1580642831000,1580642830208,43.01543634,-78.76842181,12.25,204.3,gps
1580642832000,1580642831208,43.01534125,-78.76847706,12.25,203.5,gps
1580642833000,1580642832208,43.01523595,-78.7685197,12.25,203.2,gps
1580642834000,1580642833209,43.01514463,-78.76858574,12.0,204.0,gps
1580642835000,1580642834208,43.01504799,-78.76864382,12.25,204.4,gps
1580642836000,1580642835109,43.01494022,-78.7687158,12.5,204.2,gps
1580642837000,1580642836095,43.01483674,-78.76877535,12.25,203.9,gps
1580642838000,1580642837094,43.01473551,-78.76883815,12.5,203.7,gps
1580642839000,1580642838208,43.01462866,-78.76891049,12.25,205.2,gps
1580642840000,1580642839206,43.01451529,-78.76896787,12.75,204.2,gps
1580642841000,1580642840208,43.01440113,-78.76902628,13.0,204.1,gps
1580642842000,1580642841208,43.0142954,-78.76909061,13.0,203.2,gps
1580642843000,1580642842208,43.01419431,-78.76916097,13.0,203.9,gps
1580642844000,1580642843206,43.01409407,-78.76922775,13.0,204.3,gps
1580642845000,1580642844208,43.01399327,-78.76929203,13.25,204.3,gps
1580642846000,1580642845208,43.01388578,-78.76936887,13.25,204.7,gps
1580642847000,1580642846208,43.01377505,-78.76944004,13.5,203.6,gps
1580642848000,1580642847208,43.01366746,-78.76950776,13.5,203.6,gps
1580642849000,1580642848208,43.01355717,-78.76956479,13.5,203.3,gps
1580642850000,1580642849208,43.01343972,-78.76963205,13.5,204.0,gps
1580642851000,1580642850208,43.01333223,-78.76969601,13.75,203.8,gps
1580642852000,1580642851208,43.01321787,-78.76976293,13.5,204.8,gps
1580642853000,1580642852208,43.01310243,-78.76982868,13.75,204.2,gps
1580642854000,1580642853208,43.01299434,-78.76989409,13.75,205.2,gps
1580642855000,1580642854208,43.01287659,-78.76996623,14.25,204.3,gps
1580642856000,1580642855208,43.01275107,-78.77003845,14.0,204.7,gps
1580642857000,1580642856129,43.01262951,-78.77011561,14.0,206.3,gps
1580642858000,1580642857129,43.01251842,-78.77019914,14.0,207.1,gps
1580642859000,1580642858210,43.01239108,-78.77028656,14.75,205.8,gps
1580642860000,1580642859208,43.01227884,-78.77038215,14.0,208.2,gps
1580642861000,1580642860208,43.01216222,-78.77046573,14.25,208.6,gps
1580642862000,1580642861208,43.01205818,-78.77054902,14.25,208.8,gps
1580642863000,1580642862208,43.01194994,-78.77063081,14.0,208.8,gps
1580642864000,1580642863208,43.01184591,-78.7707131,14.0,209.8,gps
1580642865000,1580642864208,43.01174533,-78.77079287,14.0,209.5,gps
1580642866000,1580642865208,43.01163926,-78.77089129,13.75,211.3,gps
1580642867000,1580642866208,43.01153383,-78.77098576,14.0,211.9,gps
1580642868000,1580642867208,43.0114219,-78.77108046,14.0,212.0,gps
1580642869000,1580642868209,43.01131871,-78.77116712,13.75,212.9,gps
1580642870000,1580642869208,43.01121663,-78.77126058,13.75,213.6,gps
1580642871000,1580642870208,43.0111173,-78.77135734,13.5,214.8,gps
1580642872000,1580642871208,43.0110072,-78.77146055,13.75,214.8,gps
1580642873000,1580642872208,43.01090828,-78.77154736,13.75,215.0,gps
1580642874000,1580642873208,43.01079775,-78.77164974,13.75,215.4,gps
1580642875000,1580642874208,43.01069739,-78.77174491,13.5,214.6,gps
1580642876000,1580642875208,43.01060004,-78.7718411,13.75,215.2,gps
1580642877000,1580642876129,43.01049412,-78.77193807,13.5,216.3,gps
1580642878000,1580642877129,43.01039141,-78.77203292,13.75,215.1,gps
1580642879000,1580642878211,43.0102952,-78.77213232,13.5,216.6,gps
1580642880000,1580642879208,43.0102022,-78.77223261,13.5,215.8,gps
1580642881000,1580642880208,43.0101081,-78.77232724,13.75,215.0,gps
1580642882000,1580642881208,43.01000112,-78.77242307,14.0,214.7,gps
1580642883000,1580642882208,43.00988962,-78.77251618,14.0,214.8,gps
1580642884000,1580642883208,43.00978458,-78.7726172,14.0,214.1,gps
1580642885000,1580642884208,43.0096832,-78.77271737,13.75,214.5,gps
1580642886000,1580642885208,43.00958302,-78.77282506,13.75,215.3,gps
1580642887000,1580642886208,43.00947995,-78.77292705,13.5,215.2,gps
1580642888000,1580642887209,43.00938405,-78.77301365,13.25,213.4,gps
1580642889000,1580642888209,43.00928786,-78.77309723,13.5,212.8,gps
1580642890000,1580642889208,43.00918602,-78.77318513,13.5,211.4,gps
1580642891000,1580642890208,43.00908493,-78.77325677,13.25,208.1,gps
1580642892000,1580642891208,43.00897926,-78.77331329,13.25,206.1,gps
1580642893000,1580642892208,43.0088729,-78.77338078,13.0,203.9,gps
1580642894000,1580642893208,43.00876545,-78.77343468,13.0,201.2,gps
1580642895000,1580642894208,43.00866949,-78.77347858,12.25,200.4,gps
1580642896000,1580642894850,43.00855098,-78.77354914,13.0,200.4,gps
1580642897000,1580642895889,43.00841575,-78.77360997,13.25,197.7,gps
1580642898000,1580642896836,43.00827366,-78.77364051,13.5,193.6,gps
1580642899000,1580642897832,43.00816029,-78.77370275,13.5,195.3,gps
1580642900000,1580642899207,43.00804111,-78.77369347,13.5,187.8,gps
1580642901000,1580642900207,43.00791599,-78.7737138,13.5,186.9,gps
1580642902000,1580642901208,43.00781717,-78.77373377,13.0,184.6,gps
1580642903000,1580642902208,43.00768159,-78.773768,13.75,185.4,gps
1580642904000,1580642903208,43.00752953,-78.77374587,14.5,179.8,gps
1580642905000,1580642904208,43.00741228,-78.77372032,13.75,177.6,gps
1580642906000,1580642905208,43.00729803,-78.77373513,13.5,179.4,gps
1580642907000,1580642906208,43.00718269,-78.77368907,14.0,173.4,gps
1580642908000,1580642907208,43.00707126,-78.77366352,13.5,171.8,gps
1580642909000,1580642908208,43.00694706,-78.77363469,14.0,168.2,gps
1580642910000,1580642909208,43.00682326,-78.77358117,13.75,167.6,gps
1580642911000,1580642910208,43.00671908,-78.77353716,13.75,164.2,gps
1580642912000,1580642911208,43.00659374,-78.77348159,14.0,162.8,gps
1580642913000,1580642912208,43.00648405,-78.77342122,13.75,160.1,gps
1580642914000,1580642913208,43.00635746,-78.77335635,13.75,159.5,gps
1580642915000,1580642914208,43.00625151,-78.77329338,13.75,158.5,gps
1580642916000,1580642915209,43.00612935,-78.77323557,14.0,159.6,gps
1580642917000,1580642916171,43.00600292,-78.77317338,14.5,159.6,gps
1580642918000,1580642917172,43.00588141,-78.77309513,14.5,157.1,gps
1580642919000,1580642918208,43.00576001,-78.77302535,14.5,157.7,gps
1580642920000,1580642919208,43.00563076,-78.77297418,14.5,159.6,gps
1580642921000,1580642920208,43.00551287,-78.77291395,14.5,159.2,gps
1580642922000,1580642921207,43.00538893,-78.77284781,14.5,158.7,gps
1580642923000,1580642922208,43.00525513,-78.7727814,14.5,158.7,gps
1580642924000,1580642923208,43.00514055,-78.77272188,14.5,158.7,gps
1580642925000,1580642924208,43.00500217,-78.77266154,15.0,159.8,gps
